ti,ab,py
a   of community  to improve oral chronic disease medication regimen adherence among individuals with substance use disorder,": poor medication adherence has been shown to cause medical complications, death, and increased healthcare costs and may be of particular importance in  with substance use disorder (sud). concerns regarding adherence in this population may influence a healthcare provider's decision to prescribe a medication requiring high adherence. guidance defining best practices that promote adherence among individuals with sud is lacking. : a  of english  in medline and  ,  between october 1, 1994 and october 31, 2017, was conducted in order to identify  of  intended to improve adherence to oral chronic disease medication regimens among  with sud.   , quasiexperimental  designs, and case series were included.  quality was assessed. : a total of 854  were retrieved, of which 24 met inclusion criteria. adherence  were categorized as those: 1) addressing the chronic disease state; 2) addressing sud; or 3) both.  varied greatly with respect to  length,  of measuring adherence, and quality. statistically significant improvement in adherence was observed in 12 of 24  (50%). specific  that improved adherence included incentive , directly observed therapy, and telephonic/home visits. counseling  such motivational  and cognitive behavioral therapy presented mixed . : while   were identified, heterogeneity of  designs and  quality preclude determination of optimal  to promote adherence in this population. further  with sound  design may inform the development of best practices for treating chronic disease in  with sud.",2018
efficacy of telerehabilitation for adults with traumatic brain injury: a  ,"objective: to identify and appraise  evaluating the efficacy of telerehabilitation for adults with traumatic brain injury (tbi). : a   of  , medline, cinahl (cumulative index to nursing and allied health ), and   was conducted from january 1980 to april 23, 2017, for  evaluating the efficacy of telerehabilitation for adults with tbi. two  independently assessed  for eligibility and rated  quality using 16 criteria related to internal validity, descriptive, and statistical characteristics. : the  yielded 13 eligible , including 10    and 3 pre/post  (n ≥ 10). these evaluated the feasibility and/or efficacy of telephone (10 ) and internet (3 ) . overall, the evidence of efficacy was somewhat mixed. the most common  design evaluated the efficacy of telephone  relative to usual care, for which 4 of 5     positive  at post (d = 0.280.51). for these , improvements in global functioning, posttraumatic symptoms and sleep quality, and depressive symptoms were . the feasibility of internet  was generally supported; , the efficacy could not be determined because of insufficient . : structured telephone  were found to be  for improving particular  following tbi.   of internet therapy and comparisons of the clinical and cost of inperson and telerehabilitation formats are recommended for future .",2018
"home use, remotely supervised, and remotely  transcranial direct current stimulation: a   of the available evidence","objectives: transcranial direct current stimulation (tdcs) is gaining growing importance in the  of neurological and psychiatric disorders and is currently investigated for home and remotely supervised applications. : here, we   the available evidence from a   (, ictrp, clinical.gov) from january 2000 to may 2017. : we detected 22 original  ,  protocols or  registrations dealing with tdcs as an addon  to cognitive or physiotherapeutic . overall,  samples are small; many  are singleblinded and focus on feasibility and safety. there are two guideline  setting basic requirements for clinical . : further  needs to focus on home  from different viewpoints, that is, safety, technical monitoring, reproducibility of repeated applications, feasibility of combined  and  assessment of efficacy, and safety in large   clinical  (). , remotely  and supervised tdcs for home use represents a promising approach for widespread use of noninvasive brain stimulation (nibs) in clinical care.",2018
new advances in cognitive behavioral therapy,NA,2018
cognitive behavioral therapy (cbt) for subacute low back pain: a  ," of : chronic low back pain (clbp) is a major source of physical and psychiatric morbidity and mortality, and the current overreliance on opioid analgesics has contributed to a burgeoning epidemic in the usa. cognitive behavioral therapy (cbt) is an empirically supported  for clbp, but little information exists regarding its potential efficacy for clbp’s precursor , subacute low back pain (salbp), defined here as having a 7–12week duration. earlier  with cbt at the salbp stage could produce larger clinical benefits. this   was undertaken to characterize and highlight this knowledge gap. recent findings: of 240 unique  identified by comprehensive  , only six prospective, salbpfocused,    ()  within the past 20 years met criteria for inclusion in this . these  varied widely in their sample sizes, precise definition of salbp, nature of cbt , and  measures. five of the six showed significant improvements associated with cbt, but the heterogeneity of the  prevented quantitative comparisons. : cbt has not been adequately  as a potential early   for salbp . none of the six identified   us civilians or leveraged innovations such as teletherapy—able to reach  in remote or underserved areas—underscoring critical gaps in current back pain . given the severity of the us opioid epidemic, nonpharmacologic options such as cbt should be rigorously explored in the salbp population.",2018
the  quality and  of technology smoking cessation  for disadvantaged : a   and ,"aims: to assess the  quality and  of technology smoking cessation  in disadvantaged . : four  (em, , medline, and ) were  for  conducted from 1980 to may 2016.    that compared a behavioral smoking cessation  delivered primarily through a technology platform (eg, mobile phone) with a no comparison  among disadvantaged smokers were included. three  assessed all relevant  for inclusion, and one  extracted ,  and  , with a subset crosschecked by a second . : thirteen  targeting disadvantaged smokers (n =4820) were included. only one  scored highly in terms of  rigor on epoc criteria for judging risk of bias. of the 13  using a technology platform, most utilized websites (n = 5) or computer programs (n = 5), and seven additionally offered nicotine replacement therapy. technology  increased the odds of smoking cessation for disadvantaged  at 1 month (odds ratio [or] 1.70, 95% confidence  [ci] 1.10, 2.63), 3 months (or 1.30, 95% ci 1.07, 1.59), 6 months (or 1.29, 95% ci 1.03, 1.62), and 18 months post (or 1.83, 95% ci 1.11, 3.01). : few  rigorous  were identified. mobile phone textmessaging, computerand websitedelivered quit support showed promise at increasing quit rates among indigenous, psychiatric and in substance use disorder . further  is needed to address the role technology  have on overcoming health inequalities to meet the needs of disadvantaged . implications: this  provides the first quantitative evidence of the  of a range of technology smoking cessation  among disadvantaged smokers, with separate estimates on the basis of  type, and cessation  measure. providing cost, easily accessible and realtime smoking cessation  is needed, and innovative technology platforms will help reach this endpoint. these  need to be  in larger scale    designs and target broader disadvantaged .  collection beyond 6 months is also needed in order to establish the efficacy of these  approaches on longterm cessation rates among disadvantaged population .",2018
telephone psychotherapy in multiple sclerosis: a   and ,"objective: the objective of the  was to  the evidence for the  of telephone psychotherapy on psychological  in people with multiple sclerosis (ms). : we conducted a   of em, , psyc, medline, cinahl, web of science, and hand relevant journals to identify    () that evaluated the  of telephone psychotherapy on psychological  in people with ms (last  completed on october 1, 2015). the  quality of each included  was assessed,  on a standardized  of  criteria. where available,  were extracted and combined in a  to compute  size estimates. : eleven  and 1,104  were identified. the  found a moderate  of the  on depression ( 0.47 [95% confidence  0.210.73]). the  also found small to moderate shortterm  of the  on fatigue, quality of life, ms symptoms, physical activity, and medication adherence, compared with  and other .  designs were heterogeneous. all  had at least 1 high or unclear risk of bias. : telephone psychotherapy provides small and moderate benefits in depression, fatigue, quality of life, ms symptoms, physical activity, and medication adherence in the short term. few gains were sustained in the long term.  of better quality are needed.",2018
the future of orthopaedic care: promoting psychosocial resiliency in orthopaedic surgical practices,NA,2018
best practice in psychological activities in cardiovascular prevention and rehabilitation: position ,"recent guidelines on cardiovascular disease prevention suggest multimodal behavioral  for psychosocial risk factors and referral for psychotherapy in the case of clinically significant symptoms of depression and anxiety overall. accordingly, psychologists of the italian association for cardiovascular prevention, rehabilitation and epidemiology (gicriacpr) have  the key components of psychological activities in cardiovascular prevention and rehabilitation (cpr). the aim of this  was to elaborate a position  on the non com best practice in routine psychological activities in cpr  on efficacy,  and sustainability. the steps followed were: i) a  of the la international guidelines and position ; ii)  of the evidence ; iii) a qualitative  of the psychological services operating in some reference italian cardiac rehabilitation facilities; iv) classification of the psychological activities in cpr as low or high intensity  on the nice guidelines on psychological  on anxiety and depression. we confirm the existence of an association between depression, anxiety, social factors, stress, personality and illness onset/ and coronary heart disease. evidence for an association between depression, social factors and disease  emerges particularly for chronic heart failure. some positive psychological variables (e.g., optimism) are associated to illness . evidence is  on the impact of psychological activities on ‘new’  which are now indicated for cardiac rehabilitation: pulmonary hypertension, grownup congenital heart, endstage heart failure, implantable cardioverterdefribrillator and mechanical ventricular assist devices, frail and oldestold , and endoflife care. we also  evidence related to caregivers. the panel divided evidence psychological  into: i) low intensity (counseling, psychoeducation, selfcare, selfmanagement, telemedicine, selfhelp); or ii) high intensity (individual, couples and/or family and  psychotherapy, such as stress management). the  show that psychotherapy is consisting of cognitivebehavioral therapy (mainly), interpersonal therapy, and short term psychodinamic therapy. the current  further refine the working tools available for psychological activities in cpr, giving clear directions about the choice of , which should be evidence and have at least a minimum standard. this document provides a comprehensive update on new knowledge and new paths for psychologists working in the cpr settings.",2018
use of technology for care coordination initiatives for  with mental health issues: a   ,"this    investigates the use of technology for the coordination and management of mental health care with an emphasis on .  of medline/ , scopus, and em were conducted between january 1, 2003, and january 4, 2018, to identify  that assessed   associated with care coordination, evaluated technology to improve care, or discussed management of mental health care using technology. a total of 21  were included in a qualitative   on the recommendations set forth by the  statement. among the various health technologies, electronic health records were most commonly used for care coordination, with primary care being the most frequent setting. care coordination was shown to provide easier  access to health care providers and to improve communication between caregiver and , especially in cases where geographic location or distance is a challenge. barriers to coordinated care included, but were not limited to, insufficient funding for health information technology, deficient reimbursement plans, limited access to technologies, cultural barriers, and underperforming electronic health record templates. in , many  showed the benefit of coordinated and collaborative care through the use of technology; , further  and development efforts are needed to continue technological innovation for advanced  care.",2018
parental engagement in preventive parenting programs for child mental health: a   of predictors and strategies to increase engagement,". child mental health problems are now recognised as a key public health concern. parenting programs have been developed as one solution to reduce children's risk of developing mental health problems. , their potential for widespread dissemination is hindered by low parental engagement, which includes intent to enrol, enrolment, and attendance. to increase parental engagement in preventive parenting programs, we need a better understanding of the predictors of engagement, and the strategies that can be used to enhance engagement. . employing a  , we conducted a   of the predictors of parent engagement and engagement enhancement strategies in preventive parenting programs. key inclusion criteria included: (1) the  is directed primarily at the parent, (2) parent age > 18 years, the  is (3) written in english and (4)  between 20042016. stouffer's  of combining pvalues was used to determine whether associations between variables were reliable. . twentythree   a variety of predictors of parental engagement and engagement enhancement strategies. only one of eleven predictors (child mental health symptoms) demonstrated a reliable association with enrolment (stouffer's p <.01). discussion. there was a lack of consistent evidence for predictors of parental en gagement. nonetheless, preliminary evidence suggests that engagement enhancement strategies modelled on theories, such as the health belief model and theory of planned behaviour, may increase parents' engagement.   registration. prospero crd42014013664.",2018
do robotics and virtual reality add real progress to mirror therapy rehabilitation? a scoping ,". mirror therapy has been used in rehabilitation for multiple indications since the 1990s. current evidence supports some of these indications, particularly for cerebrovascular accidents in adults and cerebral palsy in children. since 2000s, computerized or robotic mirror therapy has been developed and marketed. objectives. to map the extent, nature, and rationale of  activity in robotic or computerized mirror therapy and the type of evidence available for any indication. to investigate the relevance of conducting a   and  on these therapies. .  scoping .  were conducted (up to may 2018) in the  ,  scholar, ieee xplore, medline, physiotherapy evidence , and  . references from identified  were . . in sum, 75  met the inclusion criteria. most  were publicly funded (57% of ; n = 43), without disclosure of conflict of interest (59% of ; n = 44). the main  assessed were pain, satisfaction on the device, and body function and activity, mainly for stroke and amputees  and healthy . most design  were case  (67% of ; n = 50), with only 12    with 5 comparing standard mirror therapy versus virtual mirror therapy, 5 comparing secondgeneration mirror therapy versus conventional rehabilitation, and 2 comparing other . . much of the  on secondgeneration mirror therapy is of very low quality. evidence rationale to conduct such  is missing. it is not relevant to recommend investment by rehabilitation professionals and institutions in such devices.",2018
nursing  for smoking cessation,": healthcare professionals, including nurses, frequently advise people to improve their health by stopping smoking. such advice may be brief, or part of more intensive . objectives: to determine the  of nursingdelivered smoking cessation  in adults. to establish whether nursingdelivered smoking cessation  are more  than no ; are more  if the  is more intensive; differ in  with health state and setting of the ; are more  if they include followups; are more  if they include aids that demonstrate the pathophysiological  of smoking.  : we  the  tobacco addiction  specialized register and cinahl in january 2017. selection criteria:   of smoking cessation  delivered by nurses or health visitors with followup of at least six months.  collection and : two   extracted  independently. the main  measure was abstinence from smoking after at least six months of followup. we used the most rigorous definition of abstinence for each , and biochemicallyvalidated rates if available. where statistically and clinically appropriate, we pooled  using a mantelhaenszel fixed model and  the  as a risk ratio (rr) with a 95% confidence  (ci). main : fiftyeight  met the inclusion criteria, nine of which are new for this update. pooling 44  (over 20,000 ) comparing a nursing  to a  or to usual care, we found the  increased the likelihood of quitting (rr 1.29, 95% ci 1.21 to 1.38); , statistical heterogeneity was moderate (i2 = 50%) and not explained by sub . because of this, we judged the quality of evidence to be moderate. despite most  being at unclear risk of bias in at least one domain, we did not downgrade the quality of evidence further, as restricting the main  to only those  at low risk of bias did not significantly alter the  estimate. sub  found no evidence that highintensity ,  with additional followup or  including aids that demonstrate the pathophysiological  of smoking are more  than lower intensity , or  without additional followup or aids. there was no evidence that the  of support differed by   or across healthcare settings. ' : there is moderate quality evidence that behavioural support to motivate and sustain smoking cessation delivered by nurses can lead to a modest increase in the number of people who achieve prolonged abstinence. there is insufficient evidence to assess whether more intensive , those incorporating additional followup, or those incorporating pathophysiological feedback are more  than oneoff support. there was no evidence that the  of support differed by   or across healthcare settings.",2017
post hospital discharge care for complex chronic : the unique challenges facing stroke  in their homes," of : stroke is a complex medical  which can be overwhelming for , caregivers, and providers to manage in the out setting. in this , we  issues that providers may encounter in the management of chronic stroke such as stroke preventative medications, risk factor modification, medication adherence, dysphagia management, fall prevention, cognitive impairment, and rehabilitation. recent findings: there is emerging evidence that stroke management should be comprehensive and therefore include poststroke depression, diet, and physical activity for secondary prevention. telemedicine is being used more and more frequently to help rehab  in their own homes. additionally, transitional care programs are being utilized to help standardize and address poststroke chronic care in an effort to reduce mortality and prevent hospital readmissions. : management of chronic stroke can be complicated but is feasible when taking a  approach to manage medications, risk factors, and therapies.",2017
potential of telepresence robots to enhance social connectedness in older adults with dementia: an integrative  of feasibility,": socially assistive robots are increasingly used as a therapeutic tool for people with dementia, as a means to improve quality of life through social connection. this  presents a mixed integrative  of telepresence robots used to improve social connection of people with dementia by enabling realtime communication with their carers. : a   of medline, proquest, , scopus, web of science, cinahl, em, and the   was conducted to gather available evidence on the use of telepresence robots, specifically videoconferencing, to improve social connectedness, in people with dementia. a narrative synthesis was used to  the included . : a  of 1,035 records, identified four eligible peer publications,  findings about three different mobile telepresence robots. the  designs included qualitative and mixed approaches, focusing primarily on  the feasibility and acceptability of the telepresence robots within the context of dementia care. these   both positive  of using telepresence robots to connect people with dementia to others, as well as barriers, such as a lack of experience in using a robot and technological issues. : although limited, the current  suggests that telepresence robots have potential utility for improving social connectedness of people with dementia and their carers. , more  feasibility  are needed to inform the development of telepresence robots followed by clinical  to establish efficacy within dementia care.",2017
tobacco cessation  for young people,": most tobacco  programmes for adolescents are  around prevention of uptake, but teenage smoking is still common. it is unclear if  that are  for adults can also help adolescents to quit. this is the update of a   first  in 2006. objectives: to evaluate the  of strategies that help young people to stop smoking tobacco.  : we  the  tobacco addiction 's specialized register in june 2017. this includes  for  identified in central, medline, em and psyclnfo. selection criteria: we included individually and cluster   recruiting young people, aged under 20 years, who were regular tobacco smokers. we included any  for smoking cessation; these could include pharmacotherapy, psychosocial  and complex programmes targeting families, schools or communities. we excluded programmes primarily aimed at prevention of uptake. the primary  was smoking status after at least six months' followup among those who smoked at .  collection and : two   independently assessed the eligibility of candidate  and extracted . we evaluated included  for risk of bias using standard   and  them by  type and by the theoretical basis of the . where  was appropriate, we estimated pooled risk ratios using a mantelhaenszel fixed ,  on the quit rates at six months' followup. main : fortyone  involving more than 13,000 young people met our inclusion criteria (26 individually    and 15 cluster ). we judged the majority of  to be at high or unclear risk of bias in at least one domain.  were varied, with the majority adopting forms of individual or  counselling, with or without additional selfhelp materials to form complex . eight  used primarily computer or messaging , and four small  used pharmacological  (nicotine patch or gum, or bupropion). there was evidence of an   for  counselling (9 , risk ratio (rr) 1.35, 95% confidence  (ci) 1.03 to 1.77), but not for individual counselling (7 , rr 1.07, 95% ci 0.83 to 1.39), mixed delivery  (8 , rr 1.26, 95% ci 0.95 to 1.66) or the computer or messaging  (pooled rrs between 0.79 and 1.18, 9  in total). there was no clear evidence for the  of pharmacological , although confidence  were wide (nicotine replacement therapy 3 , rr 1.11, 95% ci 0.48 to 2.58; bupropion 1  rr 1.49, 95% ci 0.55 to 4.02). no sub precluded the possibility of a clinically important .  of pharmacotherapies  some adverse events considered related to  , though most were mild, whereas no adverse events were  in  of behavioural . our certainty in the findings for all comparisons is low or very low, mainly because of the clinical heterogeneity of the , imprecision in the  size estimates, and issues with risk of bias. ' : there is limited evidence that either behavioural support or smoking cessation medication increases the proportion of young people that stop smoking in the longterm. findings are most promising for  behavioural , but evidence remains limited for all  types. there continues to be a need for welldesigned, adequately powered,    of  for this population of smokers.",2017
a scoping  of humansupport factors in the context of internet psychological  (ipis) for depression and anxiety disorders,"internet psychological  (ipis) may provide a highly accessible alternative to inperson psychotherapy. , little is known about the role of humansupport in ipis for depression and anxiety disorders. the  of this  was to evaluate the evidence in the  regarding the role of humansupport in ipis for depression and anxiety disorders; identify  gaps; and provide recommendations. a scoping  of    was conducted using seven . two   citations, selected , and extracted .  was  and  by common humansupport factors. seven categories for support factors were identified from 19 : guided versus unguided ipis, level of therapist expertise, human versus automated support, scheduled versus unscheduled contact, mode of communication, synchronicity of communication, and intensity of support. only one feature had a significant  on  , with scheduled support  in better  than unscheduled support. there were mixed findings regarding guided versus unguided  and human versus automated support. providing structured support in a fixed schedule is recommended to enhance the utilization of ipis for depression and anxiety disorders. findings should be interpreted with caution due to the limited available . further  is needed to draw robust .",2017
how wearable sensors can support parkinson's disease diagnosis and : a  ,": parkinson's disease (pd) is a common and disabling pathology that is characterized by both motor and nonmotor symptoms and affects millions of people worldwide. the disease significantly affects quality of life of those affected. many works in  discuss the  of the disease. the most promising trends involve sensor devices, which are low cost, low power, unobtrusive, and accurate in the measurements, for monitoring and managing the pathology. objectives: this  focuses on wearable devices for pd applications and identifies five main fields: early diagnosis, tremor, body motion , motor fluctuations (onoff phases), and home and longterm monitoring. the concept is to obtain an overview of the pathology at each stage of development, from the beginning of the disease to consider early symptoms, during disease progression with  of the most common disorders, and including management of the most complicated situations (i.e., motor fluctuations and longterm remote monitoring).  sources: the  was conducted within three : ieee xplore®, science direct®, and  central®, between january 2006 and december 2016.  eligibility criteria: since 1,429  were found, accurate definition of the exclusion criteria and selection strategy allowed identification of the most relevant . : finally, 136  were fully evaluated and included in this , allowing a wide overview of wearable devices for the management of parkinson's disease.",2017
pharmacists providing care in the out setting through telemedicine models: a narrative ,"telemedicine refers to the delivery of clinical services using technology that allows twoway, real time, interactive communication between the  and the clinician at a distant site. commonly, telemedicine is used to improve access to general and specialty care for  in rural areas. this  aims to provide an overview of existing telemedicine models involving the delivery of care by pharmacists via telemedicine (including telemonitoring and video, but excluding followup telephone calls) and to highlight the main areas of chronicdisease management where these models have been applied.  within the areas of hypertension, diabetes, asthma, anticoagulation and depression were identified, but only two    with adequate sample size demonstrating the positive impact of telemonitoring combined with pharmacist care in hypertension were identified. the evidence for the impact of pharmacist telemedicine models is sparse and weak, with the  conducted presenting serious threats to internal and external validity. therefore, no definitive  about the impact of pharmacistled telemedicine models can be made at this time. in the unites states, the increasing shortage of primary care providers and specia represents an opportunity for pharmacists to assume a more prominent role managing  with chronic disease in the ambulatory care setting. , lack of reimbursement may pose a barrier to the provision of care by pharmacists using telemedicine.",2017
"a   of the  of selfmanagement  in people with multiple sclerosis at improving depression, anxiety and quality of life",": selfmanagement  have become increasingly popular in the management of longterm health ; , little is known about their impact on psychological wellbeing in people with multiple sclerosis (ms). : to  the  of selfmanagement  on improving depression, anxiety and health related quality of life in people with ms. : a structured   was conducted for the years 2000 to 2016. the  process followed the  guidelines, and is registered with prospero (no. crd42016033925). : the  identified 10   that fulfilled selection criteria and quality appraisal. selfmanagement  improved healthrelated quality of life in 6 out of 7 , with some evidence of improvement in depression and anxiety symptoms. : although the  are promising more robust  is required in order to determine the  of selfmanagement  on depression, anxiety and quality of life in people with ms.  of the  was impeded by a number of  issues including incomplete content and delivery information for the  and the exclusion of  representing the disease spectrum. recommendations are made for service development and  quality improvement.",2017
is cognitive behavioural therapy  in reducing suicidal ideation and behaviour when delivered facetoface or via ehealth? a   and ,"cognitive behavioural therapy (cbt) is a widely used psychotherapeutic  for suicide prevention despite its efficacy for suicide prevention in adults remaining ambiguous. reluctance or inability to access facetoface help suggests that ehealth delivery may be a valuable resource for suicidal people. the aim of this  was to   and conduct  on  assessing the efficacy of cbt delivered via facetoface and ehealth for suicidal ideation and behaviour. a comprehensive   of medline, , scopus,  and the  central register of   was conducted. from 764 identified , 26 met the inclusion criteria for investigating cbt for suicidal ideation and behaviours in adult populations.  were extracted on  characteristics and  was performed where possible. there was a statistically significant, small to medium  for facetoface delivered cbt in reducing suicidal ideation and behaviour although there was significant heterogeneity between the included . cbt delivered via ehealth was not found to be efficacious for reducing suicidal ideation and behaviour in adults though the number of   was small.",2017
technologyassisted parent training programs for children and adolescents with disruptive behaviors: a  ,"objective: to   digitally assisted parent training programs (dpts) targeting the  of children and adolescents with disruptive behaviors.  sources: a  was conducted using , , and em  for peer   between january 1, 2000, and march 1, 2016. reference  of included and   were  manually for additional references.  selection: broad  terms in varying combinations for parent, training, technologies, and disruptive behavior problems were used. we included englishlanguage   on the  of dpts targeting child or adolescent disruptive behaviors (eg, conduct disorder, oppositional defiant disorder). dpts designed to use digital media or software programs not to be primarily used within a therapy setting (eg, , facetoface) were included.  extraction:  design, recruitment and sample characteristics, theoretical , digital program features, user's engagement, and measures of child behavior were extracted. : fourteen   (n = 2, 427, 58% male, 1, 500 in dpt , 12  )  10 programs met inclusion criteria.  included selfdirected noninteractive (eg, podcasts; 3 ) and interactive (eg, online software; 4 ) dpts, remotely administered dpts combined with professional phone coaching (2 ), and a smartphone enhancement of standard .  were delivered over a mean ± sd period of 8.7 ± 4.2 weeks, most (11/14; 78.6%) were remotely administered, and all recruitment procedures included an outreach for parents outside of mental healthcare settings. for programs with > 5 sessions, the mean ± sd completion rate of available sessions was 68.6% ± 13.1%. in comparison to no  , selfdirected programs yielded significant improvements in child behavior for children (age < 9 years, cohend = 0.470.80, 4 ) and adolescents (d = 0.17, 0.20, 2 ). overall, reduced professional support combined with dpt was not inferior to fullcontact  and showed small improvement in comparison to usual care (d = 0.34). preliminary indicators also suggested that technology enhancements may increase engagement and  of standard . : the current  indicates the efficacy of dpt across a range of therapy formats applied in realworld settings demonstrating the potential for increased accessibility of evidence  for youth with disruptive behaviors. additional  are needed to extend these findings and to determine moderating  of different designs.",2017
electronic lifestyle  in overweight or obese perinatal women: a   and ,"electronic (e) lifestyle  provide potential and cost delivery of remote  for overweight and obese perinatal women. to date, no  has  the efficacy of maternal and neonatal . seven electronic  were  from inception up to july 13, 2016, including the cumulative index to nursing and allied health ,  , em, proquest dissertations and theses, ,  and scopus. among the 1,145  retrieved, 14    were selected among 17 publications. the  risk of bias tool was used to appraise the quality assessment. the  demonstrated a significant  for limiting gestational weight gain, losing postnatal weight in 1–2 months, increasing self moderate and vigorous physical activity and reducing caloric intake using dietrelated software. our  shows that an e lifestyle  is an acceptable approach. the findings reveal the variability in   and provide limited conclusive evidence. thus, future  should  the efficacy and essential components as well as the various approaches using optimal portions of inperson and phone sessions. further  comparing the  of different e lifestyle  approaches toward activityrelated and dietrelated  are necessary.",2017
mobile health technology in latelife mental illness: a focused  ,"objective in an era of rising geriatric mental health care needs worldwide, technological advances can help address care needs in a cost fashion. our objective in this  was to assess whether mobile health technology, such as tablets and smartphones, are feasible to use in  with latelife mental and cognitive disorders, as well as whether they were generally reliable modes of mental health/cognitive assessment.  we performed a focused   of medline, psychinfo, and em , including  specifically assessing the implementation of mobile health technologies: electronic tablets (e.g., ipad), smartphones, and other mobile computerized equipment in older adults (age ≥65 years) diagnosed with or at risk of a mental and/or cognitive disorder.  a total of 2,079 records were assessed, of which 7  were of direct relevance.  investigated a broad variety of mobile health technologies. almost all  samples with dementia/cognitive dysfunction or at risk for those disorders. all  exclusively  the use of mobile health technologies for the assessment of cognitive and or mental illness symptoms or disorders. none of the    having any difficulties using the mobile health technology assessments and overall reliability was similar to  modes of assessment.  overall, mobile health technologies were found to be feasible by  and had promising reliability for the assessment of cognitive and mental illness domains in older adults. future clinical  will be necessary to assess whether portable communication  (e.g., symptom tracking) can improve geriatric mental health .",2017
three decades of telemedicine in obsessivecompulsive disorder: a  across platforms," the use of telemedicine in obsessivecompulsive disorder (ocd) represents some of the earliest technologyenabled  in mental health. a  of telemedicine efficacy  in ocd provides a window into the telemental revolution and informs us on the bestsupported technology tools in ocd .  a    of efficacy  was conducted across telemental health platforms—computerized, internet, mobile, and virtual reality .  eleven    () were identified covering computerized cognitive behavioral therapy (cbt), online cbt and virtual reality exposure therapy.  included children, adolescents and adults, and represented various levels of clinician involvement (therapistfree, limited or full), as well as nontherapist support (“coach”, technician or parent). discussion the bestsupported modality represents cbt  in mild to moderate ocd, delivered over computerized, online or virtual reality platforms. no   were retrieved on noncbt psychotherapies, psychopharmacology, or mobile . overall, the hypothesis that adequate care can be delivered with minimal clinician involvement has motivated much ; while this could increase access and diminish cost, it might turn away some providers and .  several platforms as well as psychotherapeutic and psychopharmacological  remain un. meanwhile, a case can be made for using technologymediated cbt in mild to moderate ocd, then escalated to  with more clinician involvement and a broader evidence .",2017
technologyenhanced suicide prevention : a  ,"objective suicide prevention is a high priority. scalable and sustainable  for suicide prevention are needed to set the stage for populationlevel impact. this   explores how technologyenhanced  target suicide risk and protective factors, using the centers for disease  and prevention (cdc, 2015) risk and protective factors ecological model.  information  (,  and cinahl) were   and records including technologyenhanced  for suicide prevention ( n = 3764) were . records with varying technologies and diverse  were integrated into the .   of the records  in the inclusion of 16  that utilized technologyenhanced  to address determinants of suicidal behaviour. this includes the use of standalone or, in most cases, adjunct technologyenhanced  for suicide prevention delivered by mobile phone application, text message, telephone, computer, web, cdrom and video.    was variable, but several technologyenhanced  have demonstrated  in reducing suicidal ideation and mental health comorbidities. largescale  and  initiatives are needed to evaluate the costs and longterm populationlevel impact of these .",2017
the  perspective on remote monitoring of  with an implantable cardioverter defibrillator: narrative  and future directions,":  have shown that remote  monitoring (rpm) of implantable cardioverter defibrillators (icds) is at least comparable to inclinic followup with regard to clinical  and might be cost, yet rpm is not standard clinical practice within europe. better insight into the  perspective on rpm may aid in its acceptance, implementation, and reimbursement. this narrative  (1)  existing evidence on the impact of rpm on   and (2) discusses future directions in  the  perspective.  and :   indicated that only five   on rpm in icd  included  , with inconclusive . observational  show a trend toward good  satisfaction and acceptation of rpm. yet,  should be interpreted with caution due to a number of limitations including a potential selection bias, use of generic/nonvalidated questionnaires, relatively short followup durations, and a lack of sub identification. : although rpm seems to be safe, , timely, and efficient, the  perspective has received little attention so far. the scarce evidence on   in rpm  seems to be positive, but future  with a followup of ≥12 months and validated   measures are needed. the remotecied  from our  is the first prospective    primarily designed to  the  perspective on rpm, and is powered to identify characteristics associated with rpm satisfaction and benefit.  are expected in 2018 and will add valuable information to the current evidence.",2017
embodied conversational agents in clinical psychology: a scoping ,": embodied conversational agents (ecas) are computergenerated characters that simulate key properties of human facetoface conversation, such as verbal and nonverbal behavior. in internet ehealth , ecas may be used for the delivery of automated human support factors.objective: we aim to provide an overview of the technological and clinical possibilities, as well as the evidence  for eca applications in clinical psychology, to inform health professionals about the activity in this field of .: given the large variety of applied , types of applications, and scientific disciplines involved in eca , we conducted a  scoping . scoping  aim to map key concepts and types of evidence underlying an area of , and answer lessspecific questions than traditional  .   for eca applications in the  of mood, anxiety, psychotic, autism spectrum, and substance use disorders were conducted in  in the fields of psychology and computer science, as well as in interdisciplinary .  were included if they conveyed primary  findings on an eca application that targeted one of the disorders. we mapped each 's  information, how the different disorders were addressed, how ecas and users could interact with one another,  aspects, and the 's aims and .: this  included n=54 publications (n=49 ). more than half of the  (n=26) focused on autism , and ecas were used most often for social skills training (n=23). applications ranged from simple reinforcement of social behaviors through emotional expressions to sophisticated multimodal conversational . most applications (n=43) were still in the development and piloting phase, that is, not yet ready for routine practice  or application. few  conducted   into clinical  of ecas, such as a reduction in symptom severity.: ecas for mental disorders are emerging. stateoftheart techniques, involving, for example, communication through natural language or nonverbal behavior, are increasingly being considered and adopted for psychotherapeutic  in eca  with promising . , evidence on their clinical application remains scarce. at present, their value to clinical practice lies mostly in the experimental determination of critical human support factors. in the context of using ecas as an adjunct to existing  with the aim of supporting users, important questions remain with regard to the personalization of ecas' interaction with users, and the optimal timing and manner of providing support. to increase the evidence  with regard to internet , we propose an additional focus on lowtech eca solutions that can be rapidly developed, , and applied in routine practice.",2017
